episode,total_reward,rps,avg_reward_100,avg_rps_100,epsilon,loss
1,1.9072,0.0381,1.9072,0.0381,0.8992,0.0
2,9.8239,0.1965,5.8656,0.1173,0.8983,0.0
3,3.569,0.0714,5.1,0.102,0.8974,0.078496
4,6.3024,0.126,5.4006,0.108,0.8966,0.058511
5,2.2145,0.0443,4.7634,0.0953,0.8958,0.034027
6,4.419,0.0884,4.706,0.0941,0.8949,0.017908
7,4.2278,0.0846,4.6377,0.0928,0.8941,0.011299
8,2.2667,0.0453,4.3413,0.0868,0.8932,0.00911
9,4.7899,0.0958,4.3911,0.0878,0.8923,0.007604
10,2.9374,0.0587,4.2458,0.0849,0.8915,0.008755
11,3.0406,0.0608,4.1362,0.0827,0.8907,0.007506
12,6.7008,0.134,4.3499,0.087,0.8898,0.005957
13,9.0803,0.1816,4.7138,0.0943,0.889,0.007613
14,2.6759,0.0535,4.5682,0.0914,0.8881,0.007411
15,4.0603,0.0812,4.5344,0.0907,0.8872,0.006674
16,3.2299,0.0646,4.4529,0.0891,0.8864,0.007821
17,6.7297,0.1346,4.5868,0.0917,0.8856,0.007745
18,5.4475,0.1089,4.6346,0.0927,0.8847,0.007066
19,5.7707,0.1154,4.6944,0.0939,0.8839,0.007851
20,6.9546,0.1391,4.8074,0.0961,0.883,0.008319
21,3.6932,0.0739,4.7543,0.0951,0.8821,0.008084
22,4.2273,0.0845,4.7304,0.0946,0.8813,0.009279
23,2.6231,0.0525,4.6388,0.0928,0.8804,0.009457
24,6.8816,0.1376,4.7322,0.0946,0.8796,0.010253
25,5.1356,0.1027,4.7483,0.095,0.8788,0.009212
26,3.9919,0.0798,4.7193,0.0944,0.8779,0.012048
27,4.9016,0.098,4.726,0.0945,0.877,0.011501
28,2.5362,0.0507,4.6478,0.093,0.8762,0.01211
29,1.9251,0.0385,4.5539,0.0911,0.8753,0.012097
30,2.6388,0.0528,4.4901,0.0898,0.8745,0.012464
31,3.4935,0.0699,4.4579,0.0892,0.8737,0.015753
32,3.5153,0.0703,4.4285,0.0886,0.8728,0.014669
33,4.4908,0.0898,4.4304,0.0886,0.872,0.014698
34,2.9088,0.0582,4.3856,0.0877,0.8711,0.014611
35,4.4839,0.0897,4.3884,0.0878,0.8702,0.017082
36,3.7121,0.0742,4.3696,0.0874,0.8694,0.015738
37,14.2453,0.2849,4.6365,0.0927,0.8686,0.016918
38,3.4755,0.0695,4.606,0.0921,0.8677,0.017907
39,3.5014,0.07,4.5777,0.0916,0.8669,0.022413
40,2.2242,0.0445,4.5188,0.0904,0.866,0.020014
41,2.9026,0.0581,4.4794,0.0896,0.8651,0.020865
42,8.9451,0.1789,4.5857,0.0917,0.8643,0.01901
43,2.0941,0.0419,4.5278,0.0906,0.8634,0.022076
44,2.9877,0.0598,4.4928,0.0899,0.8626,0.026758
45,12.2686,0.2454,4.6656,0.0933,0.8618,0.023766
46,9.947,0.1989,4.7804,0.0956,0.8609,0.024531
47,3.7943,0.0759,4.7594,0.0952,0.86,0.026183
48,2.4649,0.0493,4.7116,0.0942,0.8592,0.025527
49,2.5321,0.0506,4.6671,0.0933,0.8583,0.027657
